storyId	lineId	lineType	speakerId	text	backgroundId	characterId	expressionId	illustrationId	speakerRaw	sceneNote	textSpeed	textStyleId	effectId	bgmId	sfxId	rightCharacterId	rightExpressionId
STORY_PROLOGUE_01	1	NARRATION		둥, 둥.	0-A					#0. 자정의 오페라(미래) / [장소: 특설 무대] / [시간: 00:00] / [속도] 단어 단위 툭툭 / [디자인] 굵은 고딕 36pt 붉은색 / [이펙트] 0-A 노출, 화면이 베이스에 맞춰 무겁게 진동 / [사운드] BGM 대기, SFX 심장 박동처럼 무거운 베이스 앰프 소리	WORD_BY_WORD	STYLE_ALERT_RED_32	FX_SCREEN_RUMBLE_BASS		SFX_BASS_AMP_HEARTBEAT		
STORY_PROLOGUE_01	2	NARRATION		칠흑 같은 어둠 속, 심장 박동처럼 둥, 둥, 무거운 베이스 소리가 울려 퍼졌다.						[속도] 보통 / [디자인] 명조체 24pt 밝은 회색 / [이펙트] 변동 없음 / [사운드] BGM 시작 - 웅장하고 기괴한 오컬트 풍의 서곡	NORMAL	STYLE_NARRATION		BGM_STORY_OCCULT_OVERTURE			
STORY_PROLOGUE_01	3	NARRATION		일순간 수천 개의 초가 켜지며 거대한 공연장을 밝혔다.	0-B					[속도] 즉시 / [디자인] 명조체 24pt 밝은 회색 / [이펙트] 0-B로 눈부시게 디졸브 전환, 블룸 강하게 / [사운드] SFX 파바박! 수천 개의 불길이 타오르는 소리	INSTANT	STYLE_NARRATION	FX_DISSOLVE_BLOOM_IN		SFX_CANDLE_IGNITE_BURST		
STORY_PROLOGUE_01	4	NARRATION		무대 위, 검은 제복을 입은 V.E.L.O 다섯 멤버가 압도적인 포스를 뿜어내며 서 있었다.				CG_VELO_STAGE_DEBUT		[속도] 보통 / [디자인] 명조체 24pt 밝은 회색 / [연출] 이벤트 CG 화려하게 컷 인 / [이펙트] 일러스트 중앙으로 서서히 줌인 / [사운드] BGM 본격적인 댄스 비트로 폭발	NORMAL	STYLE_NARRATION	FX_ZOOM_IN_SLOW	BGM_STORY_OCCULT_DROP			
STORY_PROLOGUE_01	5	MONOLOGUE	CHAR_P	아이돌의 어원은 우상, 혹은 신에게 바치는 제물이다.				CG_VELO_STAGE_DEBUT	P(독백)	[속도] 느리게 / [디자인] 고딕체 24pt 은회색 / [연출] 이벤트 CG 유지 / [이펙트] 줌인 계속 / [사운드] BGM 유지	SLOW	STYLE_MONOLOGUE					
STORY_PROLOGUE_01	6	MONOLOGUE	CHAR_P	인간 세상은 한 때 이 아이들을 쓰레기통에 처박았지만...				CG_VELO_STAGE_DEBUT	P(독백)	[속도] 느리게 / [디자인] 고딕체 24pt 은회색 / [연출] 이벤트 CG 유지 / [이펙트] 줌인 정지 / [사운드] BGM 유지	SLOW	STYLE_MONOLOGUE	FX_ZOOM_STOP				
STORY_PROLOGUE_01	7	NARRATION		무대가 폭발하듯 클라이맥스로 치달았다.				CG_VELO_STAGE_DEBUT		[속도] 보통 / [디자인] 명조체 24pt 밝은 회색 / [연출] 이벤트 CG 유지 / [이펙트] 일러스트 위로 화려한 푸른색 레이저 조명 쏟아짐 / [사운드] BGM 박자 가속	NORMAL	STYLE_NARRATION	FX_LASER_BLUE				
STORY_PROLOGUE_01	8	NARRATION		메인 보컬 리아의 고음이 터져 나오자, 객석을 가득 메운 영령 관객들이 기괴하고도 열광적인 환호를 쏟아냈다.				CG_VELO_STAGE_DEBUT		[속도] 보통 / [디자인] 명조체 24pt 밝은 회색 / [연출] 이벤트 CG 유지 / [이펙트] 일러스트 화면 전체가 크게 일렁임 / [사운드] BGM 유지 + SFX 날카로운 리아의 하이라이트 보컬	NORMAL	STYLE_NARRATION	FX_SCREEN_WAVE		SFX_RIA_HIGHLIGHT_VOCAL		
STORY_PROLOGUE_01	9	DIALOGUE		끼아아아아악 !!				CG_VELO_STAGE_DEBUT	관객(영령들)	[속도] 즉시 / [디자인] 거친 붓글씨 40pt 기괴한 푸른색 / [연출] 이벤트 CG 유지 / [이펙트] 화면 상하좌우로 거칠게 덜컹거림 / [사운드] BGM Ducking + SFX 고막을 찢는 영령들의 집단 비명과 환호	INSTANT	STYLE_IMPACT_RED_40	FX_SCREEN_SHAKE_HARD		SFX_SPIRIT_CROWD_SCREAM		
STORY_PROLOGUE_01	10	NARRATION		뼈가 울리는 듯한 소름 돋는, 그러나 미친 듯이 열광적인 환호성이었다.				CG_VELO_STAGE_DEBUT		[속도] 보통 / [디자인] 명조체 24pt 밝은 회색 / [연출] 이벤트 CG 유지 / [이펙트] 흔들림 지속 / [사운드] 환호성 지속	NORMAL	STYLE_NARRATION					
